AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
1208.4,2,2,5,0,0,3,0
337.6,3,5,5,0,0,2,0
0.0,2,3,5,0,0,0,0
25.6,2,3,5,0,0,2,0
71.2,1,2,5,0,0,3,0
83.0,3,4,5,0,0,2,0
104.0,3,3,4,1,0,2,0
1298.0,1,1,5,0,0,2,0
982.4,3,3,5,1,0,3,0
1043.2,2,2,5,0,1,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1038.4,2,4,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
259.6,1,2,5,0,0,0,0
0.0,3,4,5,0,0,0,0
0.0,2,2,5,0,0,0,1
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,2,5,0,0,0,0
108.2,3,4,5,0,0,2,0
1038.4,2,3,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
778.8,3,3,4,0,0,1,1
1243.6,2,3,5,0,0,3,0
1038.4,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1038.4,1,2,5,0,0,2,0
259.6,1,1,5,0,0,1,0
1038.4,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
778.8,1,2,5,0,0,2,0
0.0,2,3,5,0,0,0,0
0.0,1,2,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,2,5,0,0,0,0
0.0,1,2,5,0,0,0,0
0.0,1,2,5,0,0,0,0
519.2,1,2,5,0,0,1,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
519.2,1,2,5,0,0,1,0
275.6,2,3,5,0,0,1,0
519.2,2,3,4,0,0,1,1
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
778.8,2,3,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
778.8,1,2,5,0,0,2,0
0.0,1,2,5,0,0,0,0
519.2,1,2,5,0,0,1,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
519.2,1,2,5,0,0,1,0
579.8,2,2,5,0,0,2,0
1099.0,2,3,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1038.4,1,2,5,0,0,2,0
0.0,1,2,5,0,0,0,0
259.6,1,1,5,0,0,0,0
259.6,1,2,5,0,0,1,0
0.0,1,2,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,2,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,2,5,0,0,0,0
435.4,2,3,5,0,0,1,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1038.4,1,2,5,0,0,2,0
0.0,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
778.8,1,2,5,0,0,2,0
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
1038.4,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
778.8,1,2,5,0,0,2,0
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
778.8,1,2,5,0,0,1,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
778.8,1,2,5,0,0,2,0
259.6,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
519.2,1,2,5,0,0,1,0
0.0,1,2,5,0,0,0,0
778.8,1,2,5,0,0,1,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
519.2,1,1,5,0,0,1,0
519.2,1,2,5,0,0,1,0
519.2,1,2,5,0,0,1,0
259.6,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1038.4,2,3,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,1,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,3,0
1298.0,1,2,5,0,0,1,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
1298.0,1,2,5,0,0,2,0
259.6,1,2,5,0,0,1,0
0.0,1,2,5,0,0,0,0
0.0,1,2,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,2,5,0,0,0,0
0.0,1,1,5,0,0,0,0
